acbc6da,nejmeddine,30 minutes ago,suggested from added
6252970,nejmeddine,2 hours ago,user Desc backend
836b874,nejmeddine,3 hours ago,admin access
c2f2d52,Younès D,22 hours ago,Fixing routing + minor fixes in ArticleDesc
f851114,nejmeddine,25 hours ago,some changes
f8d6030,nejmeddine,2 days ago,add game to list + game list signup
3bd7928,Younès D,2 days ago,Done 98% of all pages + fixes + added username and avatar at the toolbar + widget facebook every where
f7063ee,Bastien,3 days ago,modifications front
0d42046,nejmeddine,3 days ago,backend Classement + Game rejected function
18a85b7,nejmeddine,3 days ago,fixed back tricks
94669dc,Younès D,4 days ago,Added link to Game Desc to every cards of games + minors fixes
d9e90b0,Younès D,4 days ago,Minor fixes requested
dc863c6,nejmeddine,4 days ago,fix strange urls
3aca81d,Younès D,5 days ago,Fixes some details in GameDesc + parallax fixes
f839263,Younès D,5 days ago,Fixes for GameDesc page
c86bb67,Younès D,5 days ago,News Page + Home page done + responsive and fix background parallax
2946af6,nejmeddine,5 days ago,rating system made
c61f960,nejmeddine,5 days ago,settings profile image
03af393,nejmeddine,5 days ago,Merge branch 'master' of https://github.com/allouchenejmeddine/pfe
4242bcb,nejmeddine,5 days ago,before younes
4e633ff,Younès D,6 days ago,Responsive About Page fixes
7b20b1d,Younès D,6 days ago,Merge branch 'master' of https://github.com/allouchenejmeddine/pfe
6792709,Younès D,6 days ago,Article Suggestion + Suggested done
83c7a9f,Bastien,6 days ago,front page about
635a34f,nejmeddine,6 days ago,gameDesc with image
0b6bab0,nejmeddine,6 days ago,search with redirection
dba4237,nejmeddine,9 days ago,backend articles
fa02468,Younès D,10 days ago,Article Suggestion page done + fixed on some pages
3dbaf47,Bastien,10 days ago,front end page ArticleCreatedSuccessfully
0b7d561,Younès D,12 days ago,Finished Game.vue page
4223f96,Younès D,12 days ago,Finished all game viewing pages for all Platforms
8bcad74,nejmeddine,12 days ago,ready for Younes
e8d1d23,nejmeddine,12 days ago,games properties added + search fixed + search redirection
79b2347,nejmeddine,12 days ago,backend plateform games
8f18a52,bastien,13 days ago,ajout des liens du header avec les bonnes pages et debut du front de l'onglet jeux
71161fb,nejmeddine,13 days ago,ready for Younes
ff5fa86,Younès D,2 weeks ago,Finished responsive Suggested page + fix input files
6d23d3d,nejmeddine,2 weeks ago,database modification + new pages + search bar working
6b16b27,nejmeddine,2 weeks ago,Suggested games page backend
0d14258,bastien,2 weeks ago,front-end suggestedGames
d58953d,Younès D,2 weeks ago,Merge branch 'master' of https://github.com/allouchenejmeddine/pfe
a5bc5d1,Younès D,2 weeks ago,Finished GameDesc Page
8e76cb6,nejmeddine,3 weeks ago,Ready for Bastien
fbe4536,nejmeddine,3 weeks ago,Merge branch 'master' of https://github.com/allouchenejmeddine/pfe
5b2f0f3,nejmeddine,3 weeks ago,added router to search game
c990287,Younès D,3 weeks ago,GameSugestion Responsive + Input for settigs avatar + new page GameDesc still in build
b6a5acc,nejmeddine,4 weeks ago,Suggested games page backend done++ fix game logo url when inserted
806a202,nejmeddine,4 weeks ago,Backend suggestGame finished+ storage of the logo+Various changes
f68f348,nejmeddine,4 weeks ago,Backend suggestGame finished+ storage of the logo+Various changes
33f8d4d,Younès D,5 weeks ago,Fixes log out + permission to acces pages when connected or not
0ff3fec,nejmeddine,5 weeks ago,login/logout+AutoLogin+block Unauthorized Access(not working perfectly)
476dd24,nejmeddine,5 weeks ago,backEnd signup done
3fc0d70,Younès D,6 weeks ago,Added menu changes when you're online + fixes for game creation page
aaa02ce,nejmeddine,6 weeks ago,comment
d4e46dd,Younès D,6 weeks ago,Fix Divider color
9b5a42b,Younès D,6 weeks ago,Responsive Update + Settings Account page
2e08144,Younès D,7 weeks ago,Parallax Issues Fixed+Sign Up form implemented
0dc4385,Younès D,7 weeks ago,Toolbar in Absolute
01d9395,Younès D,7 weeks ago,Parallax size fixed to auto + fixed scroll to top button
0153708,Younès D,4 months ago,Added Login Popup
a962997,Younès D,4 months ago,Merge branch 'master' of https://github.com/allouchenejmeddine/pfe
db5a04f,AlloucheNejmeddine,4 months ago,comment
0e3fc9b,AlloucheNejmeddine,4 months ago,comment
56c41b2,Younès D,4 months ago,Added Login Popup
b646b0b,bastien,4 months ago,ajout menu connection
fec13c7,AlloucheNejmeddine,4 months ago,popup
4aa7e36,Younès D,4 months ago,Add new Background + fixes
86b8b30,AlloucheNejmeddine,4 months ago,first
fac7972,AlloucheNejmeddine,4 months ago,init